parameter,value
f(Hz),550000.0
L(H),1e-06
C(F),9.576314806938172e-06
Ron,0.01
RL,0.01
RC,0.2
efficiency,0.9795023798942566
ripple,0.0037026258651167154
reward,33.99651432832082
